translation,reference,source,human_score,metric_score
A resident of Banff has asked for help to identify the fish that have appeared in his garden.,A Banff man has appealed for help in identifying fish that have appeared in his garden in Banff.,"Banffissa asuva mies on pyytänyt apua tunnistaakseen kalat, jotka ovat ilmaantuneet hänen puutarhaansa.",0.9690184450496792,0.92410808801651
"A demanding factor because the permitted defences which said that the team worked were the minimum, only a few more millimetres in both directions.",Delicate because the tolerances the team were working to were tiny - just a few millimetres either way.,"Vaativa, koska sallitut mittapoikkeamat, joiden mukaan tiimi työskenteli, olivat pikkuruisia, vain muutamia millimetrejä kumpaankin suuntaan.",0.0712202029692891,0.28326696157455444
"Apple Watch -application Cardiogram, each follows 35,000 users, tell recently to Washington Post, that together day in game's publication 30 minutes dinner mobile humans number jump 45 points 53 points Cardiogramin tailing in users.","Cardiogram, an app for the Apple Watch that tracks 35,000 users, told the Washington Post recently that within two days of the game launching, the number of people it tracked who did 30 minutes of exercise each day jumped from 45 per cent to 53 per cent.","Apple Watch -sovellus Cardiogram, joka seuraa 35 000 käyttäjää, kertoi äskettäin Washington Postille, että kahden päivän sisällä pelin julkaisusta 30 minuuttia päivässä liikkuvien ihmisten määrä hyppäsi 45 prosentista 53 prosenttiin Cardiogramin seuraamissa käyttäjissä.",-0.34828464588649394,-0.34797438979148865
He soar to tip in beam points 15.433 and exceed this by letting 15.933 parterre.,She went back in front with a 15.433 on beam - and capped it with a 15.933 on floor.,Hän nousi kärkeen puomipisteillä 15.433 ja ylitti ne saamalla 15.933 permannolla.,-0.8036326823686519,-0.5948957204818726
Picciuto remembers the uncertain future load of emotion.,Picciuto remembers the emotional toll of an uncertain future.,Picciuto muistaa epävarman tulevaisuuden aiheuttaman tunnekuorman.,-0.0470335816521203,0.8732463717460632
"Thursday from Simone fire neljäs American woman, each do sequentially superior individual golden women in moniottelu.","On Thursday, Simone became the fourth straight American to win gold in the women's individual all-around event.","Torstaina Simonesta tuli neljäs amerikkalainen nainen, joka on peräkkäisesti voittanut yksilökultaa naisten moniottelussa.",-0.818651116156652,-0.7190475463867188
"When the time before the first group of doctors will be transferred to the new agreement, there are only eight weeks, progress must be made, and time is running out.","With just eight weeks before the first group of doctors are moved onto the new contract, progress needs to be made and time is running out.","Kun aikaa ennen kuin ensimmäinen ryhmä lääkäreitä siirretään uuteen sopimukseen on jäljellä vain kahdeksan viikkoa, edistystä täytyy tapahtua ja aika on loppumassa kesken.",0.33116363400598603,0.7345507144927979
Selostajakollega Scott Russelin had to apologize on behalf of the Macdonald's.,"Fellow commentator, Scott Russel, had to make an apology on MacDonald's behalf",Selostajakollega Scott Russelin täytyi pyytää anteeksi MacDonaldin puolesta.,-0.24422841400744502,-0.31632301211357117
Primarkin customer aghast at the woman who brazenly atoned for underwear in the middle of the trade,Primark shopper outraged at woman who brazenly tried on underwear in the middle of the shop,"Primarkin asiakas tyrmistynyt naisesta, joka röyhkeästi sovitti alusvaatteita keskellä kauppaa",-0.0406687844400975,0.28143078088760376
"One said: ""they didn't bother anyone.""",One said: 'They didn't care about anybody.',Eräs sanoi: ”He eivät välittäneet kenestäkään.”,-0.40545111890188895,0.03929176926612854
"The analysoiman and, with the help of the information gathered from day to day policing will be directed to where it is most needed.",The data gathered and analysed by the unit helps to focus the daily police activities to where they are needed the most.,"Yksikön keräämän ja analysoiman tiedon avulla päivittäistä poliisitoimintaa kohdennetaan sinne, missä sitä eniten tarvitaan.",-0.18488268564985,-0.11267846077680588
Intelligence outside the region,Intelligence extends outside the own area,Tiedustelu ulottuu oman alueen ulkopuolelle,0.299040634760711,0.4220341444015503
"Sultana was 17 years old and, according to his family, he died just when they are planning a departure from the war-torn country and return to Britain.","Sultana was 17 years old and, according to her family, died just as she was making plans to flee the war-torn country and return to Britain.","Sultana oli 17-vuotias ja, perheensä mukaan, hän kuoli juuri ollessaan suunnittelemassa pakoa sodan repimästä maasta ja paluutaan Britanniaan.",0.788480144016644,0.7739796042442322
Senator Democrat Harry Reid says he is convinced that Democratic presidential candidate Hillary Clinton will appoint Judge Merrick Garland's Supreme Court if he is elected president.,Senate Democratic Leader Harry Reid says he is convinced that Democratic presidential candidate Hillary Clinton will nominate Judge Merrick Garland to the Supreme Court if she is elected president.,"Senaatin demokraattijohtaja Harry Reid sanoo, että hän on vakuuttunut siitä, että demokraattien presidenttiehdokas Hillary Clinton nimittää tuomari Merrick Garlandin korkeimpaan oikeuteen, mikäli hänet valitaan presidentiksi.",0.642800904684228,0.766511082649231
Senate republicans have blocked Garland's confirmation since president Barack Obama appointed him to in march.,Senate Republicans have blocked Garland's confirmation since President Barack Obama nominated him in March.,"Senaatin republikaanit ovat estäneet Garlandin vahvistuksen siitä lähtien, kun presidentti Barack Obama nimitti hänet maaliskuussa.",0.9658305617048081,0.7244611978530884
"Glasgowintan Stuart, following Sister Rays: two young women, two young women, three middle-aged men.","Glaswegian Stuart, 55, whom I follow from Sister Ray (data count: two young women, three middle-aged men) into Reckless Records (data count: eight middle-aged men, one woman, probably in her 20s) is in London for the afternoon for a meeting and is perusing the shops to fill a few hours.","Glasgowlainen Stuart, 55, jota seuraan Sister Raysta (laskuri: kaksi nuorta naista, kolme keski-ikäistä miestä) Reckless Recordsiin (laskuri: kahdeksan keski-ikäistä miestä, yksi nainen, todennäköisesti kaksissakymmenissä), viettää iltapäiväänsä Lontoossa tapaamisen vuoksi, ja kiertelee kauppoja kuluttaakseen muutaman tunnin.",-0.672328056162301,-0.8546117544174194
"""We were approaching the price loss of price which, with EU membership, Lehtinen is saying.","“We were close to losing that price advantage we got from EU membership”, Lehtinen says.","""Olimme lähellä menettää sen hintaedun, mikä EU-jäsenyyden myötä tuli"", Lehtinen sanoo.",-0.12151017047745598,-0.1740805208683014
The average shark shark proved to be at least 272 years.,The average age of the studied sharks was revealed to be at least 272 years.,Tutkittujen haiden keskimääräiseksi iäksi osoittautui vähintään 272 vuotta.,-0.0180371498484555,-0.5029618740081787
"Stockmann do already earlier started efficiency programme, in who do purpose to achieve 50 million euros savings this year.","Already earlier Stockmann has begun an efficiency programme, with which they attempt to create savings of 50 million euros this year.","Stockmann on jo aiemmin aloittanut tehokkuusohjelman, jolla on tarkoitus saavuttaa 50 miljoonan euron säästöt tänä vuonna.",-0.139035337712668,0.7075608372688293
Rio athletics stadium ring exceedingly hollow,The athletics stadium in Rio is empty,Rion yleisurheilustadion kumisee tyhjyyttään,0.003936316765037221,0.6040534377098083
