translation,reference,source,human_score,metric_score
"However, Putin izstarojošā peculated showed that Russia was not forgotten.",But a lingering coolness emanating from Mr Putin showed that Russia's leader has forgotten nothing.,"Taču no Putina starojošais vēsums liecina, ka Krievijas līderis neko nav aizmirsis.",-1.01290902825869,-0.8463304042816162
Suddenly the Turks seemed guilty.,"All of a sudden, it seemed like Turks were to blame for everything.","Pēkšņi likās, ka pie visa bija vainīgi turki.",0.309986887334141,0.3734112083911896
"Ankara is angry at the West for, in their view, the weak response to the attempted coup.",Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ir dusmīga uz Rietumiem par, viņuprāt, vājo reakciju uz apvērsuma mēģinājumu.",0.822714799585862,0.8185740113258362
"After more than three hours past the initial talks, if you don't want to disclose the information, the two presidents at a press conference, announced that they have not discussed the issue.","It could be telling that after almost three hours of initial talks, the two presidents told a press conference that they hadn't even touched on the topic.","Pēc vairāk nekā trīs stundu garām sākotnējām sarunām, nevēloties atklāt informāciju, abi prezidenti preses konferencē paziņoja, ka viņi šo jautājumu nav pārrunājuši.",-0.15264957689878697,0.42911475896835327
Frenkie Detori wins 3000th victory after 5-1 win with horse Predilecton,"Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilection","Frenkijs Detori izcīna 3000. uzvaru, iegūstot pirmo vietu Ņūmārketā ar zirgu Predilection",0.05763306964542201,0.07092832028865814
"According to the Kremlin's website (in Russian), later he led the Presidential Protocol and government employees administration.","Later he managed presidential protocol and government staff, the Kremlin website says (in Russian).","Kā vēsta Kremļa mājaslapa (krievu valodā), vēlāk viņš vadīja Prezidenta protokolu un valdības darbinieku pārvaldi.",0.577713965150439,0.6876638531684875
"When Putin came to power, he named Ivanov among the five people he trusted most.","When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.","Kad Putins nāca pie varas, viņš nosauca Ivanovu to piecu cilvēku skaitā, kam viņš uzticas visvairāk.",1.01330621371847,0.9665651917457581
"A huge, because viadukts has 222 metres long, weigh approximately 6,000 tonnes and was jāpavelk bed around 3%.","Massive because the viaduct is 222 metres long, weighs approximately 6,000 tonnes and had to be pulled up a gradient of about 3%.","Milzīga, jo viadukts ir 222 metrus garš, sver apmēram 6000 tonnas un bija jāpavelk slīpi aptuveni par 3 %.",-0.35613247299999296,-0.08956973999738693
"Tuesday during the bombardment a stray bullet hit a 6-year-old girl, while she was playing in front of his house in the Vestouklein district.","Another 6-year-old, a girl, was hit in her arm by a stray bullet Tuesday while playing in front of her home in the West Oak Lane neighborhood.","Otrdien apšaudes laikā nomaldījusies lode trāpīja kādai 6 gadus vecai meitenītei rokā, kamēr viņa rotaļājās savas mājas priekšā Vestoukleinas rajonā.",-0.10204914848954501,-0.005579331889748573
"In practice, gymnastics is an expensive sport. Trainers are mostly trained at private athletics clubs and are supported by parents who pay for workouts, rooms, trips, uniforms, hotels (coaches, athletes and their families) and other expenses.","But the reality is that gymnastics is an expensive sport, and gymnasts primarily train in private gymnastics clubs that are maintained by parents paying the cost of the training, facility, travel, uniforms, competition fees, hotel fees (for the coaches and their gymnasts and families) and the list goes on.","Patiesībā vingrošana ir dārgs sports. Vingrotāji galvenokārt trenējas privātos vieglatlētikas klubos, un viņus uztur vecāki, kas maksā par treniņiem, telpām, ceļojumiem, formastērpiem, viesnīcām (treneriem, sportistiem un viņu ģimenēm) un citiem izdevumiem.",0.330842748715519,0.6516194343566895
