translation,reference,source,human_score,metric_score
A resident of Banff has asked for help to identify the fish that have appeared in his garden.,A Banff man has appealed for help in identifying fish that have appeared in his garden in Banff.,"Banffissa asuva mies on pyytänyt apua tunnistaakseen kalat, jotka ovat ilmaantuneet hänen puutarhaansa.",0.969018445049679,0.23035217519415965
"A demanding factor because the permitted defences which said that the team worked were the minimum, only a few more millimetres in both directions.",Delicate because the tolerances the team were working to were tiny - just a few millimetres either way.,"Vaativa, koska sallitut mittapoikkeamat, joiden mukaan tiimi työskenteli, olivat pikkuruisia, vain muutamia millimetrejä kumpaankin suuntaan.",0.0712202029692891,0.5880889813391803
"Apple Watch -application Cardiogram, each follows 35,000 users, tell recently to Washington Post, that together day in game's publication 30 minutes dinner mobile humans number jump 45 points 53 points Cardiogramin tailing in users.","Cardiogram, an app for the Apple Watch that tracks 35,000 users, told the Washington Post recently that within two days of the game launching, the number of people it tracked who did 30 minutes of exercise each day jumped from 45 per cent to 53 per cent.","Apple Watch -sovellus Cardiogram, joka seuraa 35 000 käyttäjää, kertoi äskettäin Washington Postille, että kahden päivän sisällä pelin julkaisusta 30 minuuttia päivässä liikkuvien ihmisten määrä hyppäsi 45 prosentista 53 prosenttiin Cardiogramin seuraamissa käyttäjissä.",-0.348284645886494,0.7270549875986743
He soar to tip in beam points 15.433 and exceed this by letting 15.933 parterre.,She went back in front with a 15.433 on beam - and capped it with a 15.933 on floor.,Hän nousi kärkeen puomipisteillä 15.433 ja ylitti ne saamalla 15.933 permannolla.,-0.803632682368652,0.5230775737153457
Picciuto remembers the uncertain future load of emotion.,Picciuto remembers the emotional toll of an uncertain future.,Picciuto muistaa epävarman tulevaisuuden aiheuttaman tunnekuorman.,-0.0470335816521203,0.2555423612932001
"Thursday from Simone fire neljäs American woman, each do sequentially superior individual golden women in moniottelu.","On Thursday, Simone became the fourth straight American to win gold in the women's individual all-around event.","Torstaina Simonesta tuli neljäs amerikkalainen nainen, joka on peräkkäisesti voittanut yksilökultaa naisten moniottelussa.",-0.818651116156652,0.9424030889301407
"When the time before the first group of doctors will be transferred to the new agreement, there are only eight weeks, progress must be made, and time is running out.","With just eight weeks before the first group of doctors are moved onto the new contract, progress needs to be made and time is running out.","Kun aikaa ennen kuin ensimmäinen ryhmä lääkäreitä siirretään uuteen sopimukseen on jäljellä vain kahdeksan viikkoa, edistystä täytyy tapahtua ja aika on loppumassa kesken.",0.331163634005986,0.3476487050471945
Selostajakollega Scott Russelin had to apologize on behalf of the Macdonald's.,"Fellow commentator, Scott Russel, had to make an apology on MacDonald's behalf",Selostajakollega Scott Russelin täytyi pyytää anteeksi MacDonaldin puolesta.,-0.244228414007445,0.6550364418427628
Primarkin customer aghast at the woman who brazenly atoned for underwear in the middle of the trade,Primark shopper outraged at woman who brazenly tried on underwear in the middle of the shop,"Primarkin asiakas tyrmistynyt naisesta, joka röyhkeästi sovitti alusvaatteita keskellä kauppaa",-0.0406687844400975,0.3992448025182922
"One said: ""they didn't bother anyone.""",One said: 'They didn't care about anybody.',Eräs sanoi: ”He eivät välittäneet kenestäkään.”,-0.405451118901889,0.369891962915775
