translation,reference,source,human_score,metric_score
"However, Putin izstarojošā peculated showed that Russia was not forgotten.",But a lingering coolness emanating from Mr Putin showed that Russia's leader has forgotten nothing.,"Taču no Putina starojošais vēsums liecina, ka Krievijas līderis neko nav aizmirsis.",-1.01290902825869,0.7216377369831273
Suddenly the Turks seemed guilty.,"All of a sudden, it seemed like Turks were to blame for everything.","Pēkšņi likās, ka pie visa bija vainīgi turki.",0.309986887334141,0.7134880918949641
"Ankara is angry at the West for, in their view, the weak response to the attempted coup.",Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ir dusmīga uz Rietumiem par, viņuprāt, vājo reakciju uz apvērsuma mēģinājumu.",0.822714799585862,0.2907737986203597
"After more than three hours past the initial talks, if you don't want to disclose the information, the two presidents at a press conference, announced that they have not discussed the issue.","It could be telling that after almost three hours of initial talks, the two presidents told a press conference that they hadn't even touched on the topic.","Pēc vairāk nekā trīs stundu garām sākotnējām sarunām, nevēloties atklāt informāciju, abi prezidenti preses konferencē paziņoja, ka viņi šo jautājumu nav pārrunājuši.",-0.152649576898787,0.5231379072981638
Frenkie Detori wins 3000th victory after 5-1 win with horse Predilecton,"Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilection","Frenkijs Detori izcīna 3000. uzvaru, iegūstot pirmo vietu Ņūmārketā ar zirgu Predilection",0.057633069645422,0.7083995130014656
"According to the Kremlin's website (in Russian), later he led the Presidential Protocol and government employees administration.","Later he managed presidential protocol and government staff, the Kremlin website says (in Russian).","Kā vēsta Kremļa mājaslapa (krievu valodā), vēlāk viņš vadīja Prezidenta protokolu un valdības darbinieku pārvaldi.",0.577713965150439,0.3020140663939557
"When Putin came to power, he named Ivanov among the five people he trusted most.","When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.","Kad Putins nāca pie varas, viņš nosauca Ivanovu to piecu cilvēku skaitā, kam viņš uzticas visvairāk.",1.01330621371847,0.22918433322271917
"A huge, because viadukts has 222 metres long, weigh approximately 6,000 tonnes and was jāpavelk bed around 3%.","Massive because the viaduct is 222 metres long, weighs approximately 6,000 tonnes and had to be pulled up a gradient of about 3%.","Milzīga, jo viadukts ir 222 metrus garš, sver apmēram 6000 tonnas un bija jāpavelk slīpi aptuveni par 3 %.",-0.356132472999993,0.4870716501760706
"Tuesday during the bombardment a stray bullet hit a 6-year-old girl, while she was playing in front of his house in the Vestouklein district.","Another 6-year-old, a girl, was hit in her arm by a stray bullet Tuesday while playing in front of her home in the West Oak Lane neighborhood.","Otrdien apšaudes laikā nomaldījusies lode trāpīja kādai 6 gadus vecai meitenītei rokā, kamēr viņa rotaļājās savas mājas priekšā Vestoukleinas rajonā.",-0.102049148489545,0.4468386209002886
"In practice, gymnastics is an expensive sport. Trainers are mostly trained at private athletics clubs and are supported by parents who pay for workouts, rooms, trips, uniforms, hotels (coaches, athletes and their families) and other expenses.","But the reality is that gymnastics is an expensive sport, and gymnasts primarily train in private gymnastics clubs that are maintained by parents paying the cost of the training, facility, travel, uniforms, competition fees, hotel fees (for the coaches and their gymnasts and families) and the list goes on.","Patiesībā vingrošana ir dārgs sports. Vingrotāji galvenokārt trenējas privātos vieglatlētikas klubos, un viņus uztur vecāki, kas maksā par treniņiem, telpām, ceļojumiem, formastērpiem, viesnīcām (treneriem, sportistiem un viņu ģimenēm) un citiem izdevumiem.",0.330842748715519,0.4806010477760484
"""EU, personally, I do not see a lot of similarities, with the exception of the beard,"" said Bredijs edition Huffington Post.","'I personally don't see a huge resemblance, maybe besides the facial hair,' Brady told Huffington Post.","""Es personīgi neredzu lielu līdzību, izņemot bārdu"", Breidijs stāsta izdevumam Huffington Post.",-0.05047261284385,0.5225565577414389
No one: One Twitter user was pleasantly surprised to learn that others see the similarities,Not the only one: One Twitter user was very pleased that others also saw the similaritiest,"Nav viens: kāds Twitter lietotājs bija patīkami pārsteigts uzzinot, ka arī citi saskata šīs līdzības",0.335507427948051,0.4371540072786134
"Soon after, Scott Russell, who was led by CBC live broadcast, apologized for the MC Donald's comments, saying: ""we are sorry that comment on the swimming results came just here.""","Soon after, Scott Russel who was hosting CBC's broadcast apologized on-air for MacDonald's comment, saying: 'We apologize the comment on a swim performance made it to air.'","Drīz pēc tam Skots Rasels, kurš tobrīd vadīja CBC tiešraidi, atvainojās par Makdonalda komentāriem, sakot: ""Mēs atvainojamies, ka komentārs par peldēšanas rezultātu atskanēja tiešajā ēterā.""",0.0323920204230684,0.4504987768388769
"It was unfortunate choice of words, and we are very sorry that it happened.","It was an unfortunate choice of words, we're sorry it happened.'","Tā bija neveiksmīga vārdu izvēle un mums ir ļoti žēl, ka tā notika.",0.882104316463828,0.3482399124543053
We very much regret that such comments were made and that they came into direct ether.,"We sincerely regret that these statements were made, and that they were allowed to go to air.","Mēs ļoti nožēlojam, ka tika izteikti šādi komentāri un tie nonāca tiešajā ēterā.",-0.124293725143599,0.3885241747015959
"We very much regret that made such comments and that they came here, ""she said.","We sincerely regret that these statements were made, and that they were allowed to go to air.","Mēs ļoti nožēlojam, ka tika izteikti šādi komentāri un tie nonāca tiešajā ēterā.",-0.0540631646203839,0.6133461139118062
"Needless to say I hadn't meant to show disrespect, and I was really sorry that it happened.","'Needless to say, there was no disrespect intended and I'm very sorry.'","Lieki teikt, ka es nebiju domājis izrādīt necieņu un man tiešām ļoti žēl, ka tā notika.",0.901192358949717,0.5011716025397087
Cornwall Housing keeper Donna Makevoja says there are concerns that housing will not be restored.,"Donna McEvoy, housing manager at Cornwall Housing, said she feared it might be beyond saving.","Kornvolas Mājokļu dienesta apsaimniekotāja Donna Makevoja saka, ka pastāv bažas, ka mājokli nebūs iespējams atjaunot.",0.121378818557102,0.5829518698571627
The company will buy a plate sailing facility by 89.5 thousand euros.,The company is going to purchase plank sawing equipment for 89.5 thousand euros.,"Uzņēmums par 89,5 tūkstošiem eiro iegādāsies plākšņu zāģēšanas iekārtu.",-0.850465959430977,0.35297940853333487
"He added that the ""Cannes beaches is not, since, when the centre-right 'Ignore' the Linārs signed this order and it entered into force.","He added that burkini swimsuits on the beaches of Cannes haven't been seen since July 28 when Linard, a member of the center-right party the Republicans, signed this ordinance and it came into force.","Viņš piebilda, ka burkini peldkostīmi Kannu pludmalēs nav redzēti jau kopš 28.jūlija, kad labēji centriskās partijas ""Republikāņi"" biedrs Linārs parakstīja šo rīkojumu un tas stājās spēkā.",-1.03711705041855,0.6244739177603466
"This week, a water park in the city of Marseille was cancelled planned a private event that Muslim women should be dressed in peldkostīmo, Burkina Faso as outraged by such a measure was both right and left political circles.","This week, a water amusement park in Marseille cancelled a scheduled private event for Muslim women who would be wearing burkini suits, because politicians from both right wing and left wing political parties were outraged at such possibility.","Šonedēļ akvaparks Marseļas pilsētā atcēla plānotu privātu pasākumu musulmaņu sievietēm, kuras būtu ģērbušās burkini peldkostīmos, jo sašutumu par šādu pasākumu pauda gan labējo, gan kreiso aprindu politiķi.",-0.586057713181618,0.5040262475857052
"""He was the one that is close to the people,"" says Auziņš.","""He was a person who didn't lose touch with the nation,"" Auzins says.","""Viņš bija tāds, kurš ir tuvu tautai"", stāsta Auziņš.",0.302815444547806,0.4212675657271374
"""We are not perched to them because they were fleeing on the pitch, picked up with the civilians,"" said Kurdu Menbij, a spokesman for the military council.","""We did not shoot at them, because they took civilians with them when fleeing to Jarabulus,"" press officer of the Kurdish Manbij Military Council announced.","""Mēs nešāvām uz viņiem, jo viņi, bēgot uz Džerābulusu, paņēma sev līdzi civiliedzīvotājus"", paziņoja Kurdu Menbižas militārās padomes preses pārstāvis.",-0.784641757476617,0.49475296852691053
"After receiving non-specific threats, Slovakia has stepped up security measures on Friday at several airports, the Interior Ministry said.","On Friday, after receiving unspecified threats, Slovakia increased its security measures in several airports, the Ministry of Interior announced.","Pēc nespecifisku draudu saņemšanas Slovākija piektdien pastiprinājusi drošības pasākumus vairākās lidostās, paziņojusi Iekšlietu ministrija.",0.797275121613757,0.2826032390106305
"According to a new study, the number of fatalities at the former Communist yoke of the former East German border could be much higher than previously estimated, but doubts about the true number of victims still have not been addressed.","According to a new study, the number of fatalities at the border of former Eastern Germany, greatly subdued by the Communist regime, could be considerably larger than so far believed, but doubts about the actual number of victims have not been cleared yet.","Saskaņā ar jaunu pētījumu bojāgājušo skaits pie komunistu jūgā bijušās kādreizējās Austrumvācijas robežas varētu būt daudz lielāks, nekā uzskatīts iepriekš, taču šaubas par patieso upuru skaitu joprojām nav kliedētas.",0.497159417117123,0.26925719082001054
"But Štāts is convinced that draw the distinction between the elderly people who may have died as a result of their treatment we faced, and those whose death sparked a hot time waiting for a bus at the border.","But Stadt is sure that one must differentiate between the old people who, possibly, died due to the attitude and conduct towards them and those who died due to protracted waiting inside a bus at the border in time of hot weather.","Taču Štāts ir pārliecināts, ka jāizdara nošķīrums starp vecajiem ļaudīm, kuri, iespējams, miruši viņu pieredzētās apiešanās rezultātā, un tiem, kuru nāvi izraisījusi ilgstoša gaidīšana karstā laikā autobusā pie robežas.",-0.0761363223180584,0.4872508894563527
"In my view, is unethical in the Executive Committee approve a CIRCLE of five persons, and one of them not to take.",I believe that it is unethical to confirm five persons with the LOC executive committee and then not to take them all to the Olympics.,Manā skatījumā ir neētiski LOK izpildkomitejā apstiprināt piecas personas un kādu no tām neaizvest.,-0.210368208246779,0.5925175322544363
"The location in Rio de Janeiro isn't my vacation, I'm working here, spending my time and trying to realize four-year programs.",I have not come to Rio de Janeiro for a vacation but to do work here and spend my time trying to implement quadrennial programs.,"Atrašanās Riodežaneiro nav mans atvaļinājums, šeit strādāju, tērēju savu laiku un cenšos realizēt četrgades programmas.",0.367638933981183,0.49566225034615535
"As reported, on Thursday the weight of up to 100 kilos has been lost in his first fight to fame in Jevgeny Borodavko.",NThe news agency LETA previously reported that the Latvian judo fighter Jevgenijs Borodavko lost his first fight in the division over 100 kg on Thursday.,"Aģentūra LETA jau vēstīja, ka ceturtdien svara kategorijā līdz 100 kilogramiem zaudējumu jau savā pirmajā cīņā piedzīvoja Latvijas džudo cīkstonis Jevgeņijs Borodavko.",-0.620068346399841,0.6342567186431648
the information providers anonymity guaranteed.,Information providers will remain anonymous.,Informācijas sniedzējiem anonimitāte garantēta.,0.417756549724081,0.5089064525824031
"At a hearing this week at the Calais authorities said that the country would be demolished 72 pašizveidotus veikaliņus, where the camp site people sell a variety of goods, such as cigarettes and energy drinks, offers to cut services, tea for 50 cents (40p) and simple meals on some euro pašizveidotos restaurants.","At a court hearing this week, Calais authorities had argued the state should be able to knock down a total of 72 makeshift shops where people inside the camp sell goods, from cigarettes to energy drinks, offer haircuts, or sell tea for 50 cents (40p) or basic meals for a few euros in makeshift restaurants.","Šonedēļ notikušajā tiesas sēdē Kalē varas iestādes norādīja, ka valstij būtu jānojauc 72 pašizveidotus veikaliņus, kur nometnes teritorijā cilvēki tirgo dažādas preces, piemēram, cigaretes un enerģijas dzērienus, piedāvā friziera pakalpojumus, tēju par 50 centiem (40p) un vienkāršas maltītes par dažiem eiro pašizveidotos restorānos.",-0.363528019017926,0.5650910319207356
"Humanitarian groups, the court explained that these small businesses are essential, because governments and aid groups have provided food does not provide camps needs, which the number of residents continues to rise.","Humanitarian groups had told the court the shops and restaurants were vital, saying the free meals offered by a state-backed association and other groups did not provide enough food for the growing numbers at the camp.","Humānās grupas pārstāvji tiesai paskaidroja, ka šie mazie uzņēmumi ir būtiski, jo valdības un atbalsta grupu sniegtā pārtika nenodrošina nometnes vajadzības, kurā iemītnieku skaits turpina pieaugt.",-0.233961992872594,0.6054958606818706
"This defeat is a painful, but progress is surprising.",This hammering will hurt but the progress is startling.,"Sakāve ir sāpīga, bet izaugsme ir pārsteidzoša.",0.153531568319509,0.47118128485338284
"Mitchell's great power technique prevented the german Leon Nakaravam from scoring three points, but it only slightly affected Fiji's result.",A superb Mitchell tackle stopped the man-mountain Leone Nakarawa from scoring a third but it was only delaying Fiji.,"Mičela lieliskais spēka paņēmiens neļāva būdīgajam Leoni Nakaravam gūt trīs punktus, bet tas tikai nedaudz ietekmēja Fidži rezultātu.",0.470912306128524,0.5014173280020475
"A European Commission (EC) issued its opinion on 12 July, that Spain and Portugal have not implemented sufficient measures to reduce the deficit level by 3% of gross domestic product (GDP) by the euro area.","A month ago, on July 12, the European Commission (EC) published an assessment that Spain and Portugal have not managed to implement a sufficient amount of measures to reduce their budget deficit to 3% of gross domestic product (GDP) as per the eurozone rules.","Pirms mēneša 12. jūlijā Eiropas Komisija (EK) nāca klajā ar atzinumu, ka Spānija un Portugāle nav īstenojušas pietiekami apjomīgus pasākumus, lai budžeta deficīta līmeni samazinātu līdz eirozonas prasītajiem 3% no iekšzemes kopprodukta (IKP).",0.428268762392256,0.3540045033860253
Among the dirty beaches is also the beaches in Riga.,The swimming areas of Riga are also on the list of the dirtiest beaches.,Starp netīrākajām pludmalēm ir arī peldvietas Rīgā.,0.254415847675115,0.5112563740252016
"However, it is highlighted that the administration of the presidential administration is a very important post and it made Ivanovu one of the most influential people in the country.","However, it has been pointed out that being in charge of the Presidential Executive Office is a very powerful position and that through it Ivanov has become one of the most influential persons in the entire country.","Tomēr tiek izcelts, ka prezidenta administrācijas vadīšana ir ļoti nozīmīgs amats un tas padarīja Ivanovu par vienu no ietekmīgākajiem cilvēkiem valstī.",0.492289502409004,0.33611043305960997
Another one of those times when your leadership worked in government.,"In fact, it goes back to the times when we worked under your leadership in government.","Vēl no tiem laikiem, kad jūsu vadībā strādājām valdībā.",-0.317776426032038,0.551287966346969
Dreams disappear in the sand of Rio.,Athletes' dreams crushed in Rio sand.,Sapņi pazūd Rio smiltīs.,0.259402642894411,0.45060381490443907
The total loss of all on board.,"Eventually it resulted in a loss, shown on the scoreboard.",Viss kopā summējās zaudējumā uz tablo.,-1.02465760160115,0.8673928439405351
"The risk is, because at times they may be uncomfortable from the logistics point of view.","It is risky, because sometimes it can be inconvenient in terms of logistics.","Risks ir, jo reizēm tie var būt neērti no loģistikas viedokļa.",0.0329832635872053,0.5727972018531837
"In the 100-meter barrier and high-rise, Laura Ishamvie-Admidigan lagged behind her personal records.",Laura Ikauniece-Admidina fell behind her previous personal records in 100-meter hurdles and high jump.,100 metru barjerskrējienā un augstlēkšanā Laura Ikauniece-Admidiņa atpalika no saviem personiskajiem rekordiem.,0.192705697768207,0.49158991547728803
The exhibition will be complemented by the museum's stock objects.,The exhibition has received some items from the Liepaja Museum collection.,Izstāde tiks papildināta ar Liepājas muzeja krājuma priekšmetiem.,-0.402288049316091,0.5987721413385045
EU the previous day will preside over the festive vigīlijas worship.,I lead the service of vigilia on the day before.,Es iepriekšējā dienā vadu svētku vigīlijas dievkalpojumu.,-0.773631411422185,0.6686019342912329
Prime Minister's spokesman Andrejs Vaivars told LETA that the vacant vacant post of the Revenue Service will be a new competition.,"Andrejs Vaivars , the Press Secretary of the Prime Minister Maris Kucinskis, explained to LETA that a new competition would be organised for the vacant position of General Director of the SRS.","Ministru prezidenta Māra Kučinska preses sekretārs Andrejs Vaivars aģentūrai LETA skaidroja, ka uz vakanto VID ģenerāldirektora amatu tiks rīkots jauns konkurss.",-0.0892612585471148,0.5094731671890425
"The rewards and berries contain fibres which, according to the Canadian scientists' conclusions, are controlling the greets - the stigmatisation of stimulating hormones - and thus also a sense of salute.","Oatmeal and berries contain dietary fiber which, according to some findings of Canadian scientists, control ghrelin, a hormone responsible for appetite and the amount of food we eat.","Auzu pārslas un ogas satur šķiedrvielas, kas saskaņā ar Kanādas zinātnieku secinājumiem kontrolē grelīnu - apetīti stimulējošu hormonu - un tādējādi arī izsalkuma sajūtu.",-0.711111970431997,0.667832031168523
"But she knows that the result: American Olympic Games is 4: 0, which gives them their group it with Britain, which on Thursday after's victory over Japan with a 2: 0 in Dartford.","Here is what she does know: The Americans are 4-0 in the Olympic tournament and are tied for first place in their group with Britain, which remained unbeaten after defeating Japan, 2-0, on Thursday.","Bet viņa zina, ka amerikāņu rezultāts Olimpiskajās spēlēs ir 4:0, kas viņām savā grupā dod neizšķirtu ar Lielbritāniju, kas ceturtdien pēc uzvaras pār Japānu ar rezultātu 2:0 palika neuzvarēta.",-0.170833312616696,0.5624554391694022
"This was the first US early Brigas guys a break, in each of the first three games, was.","The shutout was the first of the tournament for the United States goalie, Jackie Briggs, who had allowed one goal in each of the first three victories.","Šī bija pirmā ASV vārtsardzes Džekijas Brigas sausā spēle, katrā no pirmajām trim spēlēm ielaižot pa vieniem vārtiem.",-1.00405087229896,0.8030196527675377
Mr kou shuddered.,Mr. Coe grimaced.,Kou kungs novaibstījās.,-0.480901146977149,0.5075155885713336
Gilead will receive reimbursement of legal expenses in the fight against Merck for Hepatitis C patent,Gilead to get attorney fees in hepatitis C patent fight with Merck,Gilead saņems atmaksu par juridiskajiem izdevumiem cīņā ar Merck par Hepatīta C patentu,0.652782641628964,0.5271019045626631
"Baffets said he was also being carried out by the Revenue Service's audit and Trump is afraid of voters, not tax authorities.","Buffet said that he too was under IRS audit and Trump is ""afraid"" not of the tax-collection agency but of voters.","Bafets izteicās, ka arī viņam tiek veikts Ieņēmumu dienesta audits un Tramps baidās no vēlētājiem, nevis nodokļu iestādes.",0.143112756341794,0.5185332143612766
"The problems began when the ombudsmen tried to kill students, resulting in police use of rubber bullets and tear gas.","The trouble started when law enforcement officers tried to disperse the students, which led to the police using rubber bullets and tear gas.","Problēmas sākās, kad tiesībsargi mēģināja izdzenāt studentus, kā rezultātā policija pielietoja gumijas lodes un asaru gāzi.",-0.561024464974291,0.2919338829319055
Kenya is the sprint that starts today and will continue the next three days.,"Kenny next competes in the sprint, which begins on today and plays out over three days.","Kenija nākamās sacīkstes ir sprints, kurš sākas šodien un turpināsies nākamās trīs dienas.",-0.038119127421061,0.5253329258546513
"On that day, it was the only fight for medals, but they were not the only good news for Britain.","It was the day's only medal event, but there was further good news for Britain.","Tajā dienā tā bija vienīgā cīņa par medaļām, taču tās nebija vienīgās labās ziņas Lielbritānijai.",0.227198704947157,0.5194098092341048
"The British delegation hopes that the British cycling team, hoping. fought their medals among the Olympic Games period.",Team GB have come to rely on its mighty track cycling squad to take ownership of the middle period of an Olympic Games and deliver a host of medals.,"Lielbritānijas delegācija cer, ka britu riteņbraukšanas komanda, cerot. izcīnīs medaļas Olimpisko spēļu vidus posmā.",-0.52292053391131,0.75548776843517
"Already from June next year, these legal centers will receive 30% less funding than so far.","From June next year, those legal centres are slated to lose another 30 per cent of their federal funding.",Jau no nākamā gada jūnija šie juridiskie centri saņems par 30% mazāku finansējumu nekā līdz šim.,0.093603405339978,0.40746267614528464
"In June 2017, the Federal Government will reduce funding by 30 per cent, which means that even several thousand mkae the population will need to be addressed in their complex legal problems without assistance.","The federal government will cut funding by 30 per cent from June 2017, which means thousands more vulnerable Queenslanders will be forced to navigate complex legal problems without help.","No 2017. gada jūnija federālā valdība samazinās finansējumu par 30 procentiem, tas nozīmē, ka vēl vairākiem tūkstošiem Kvīnslendas iedzīvotāju būs jārisina savas sarežģītās juridiskās problēmas bez palīdzības.",0.0967947574670781,0.39012998843512114
Attempts to contact could not successfully.,Attempts to reach Phillip were unsuccessful.,Nav izdevies sazināties ar Filipsu.,-0.814604244760034,0.5383181774540124
"The novelty, which could also become a tradition, was a parade, which went both tractors and motorcycles.","Another novelty, which might become a tradition, was the parade of vehicles, where both tractors and motorcycles took part.","Jaunums, kas varētu arī kļūt par tradīciju, bija braucamrīku parāde, kurā devās gan traktori, gan motocikli.",0.343873608632999,0.30514681136650773
"There are always obstacles to overcome, but Hittower has overcome everything so far.","There are always obstacles to be overcome, but Heathrow is answering every question asked of it.","Vienmēr ir šķēršļi, kas jāpārvar, bet Hītrova līdz šim ir pārvarējusi visu.",0.0446139074117019,0.5597332308230806
