translation,reference,source,human_score,metric_score
"However, Putin izstarojošā peculated showed that Russia was not forgotten.",But a lingering coolness emanating from Mr Putin showed that Russia's leader has forgotten nothing.,"Taču no Putina starojošais vēsums liecina, ka Krievijas līderis neko nav aizmirsis.",-1.01290902825869,0.5191766065018305
Suddenly the Turks seemed guilty.,"All of a sudden, it seemed like Turks were to blame for everything.","Pēkšņi likās, ka pie visa bija vainīgi turki.",0.309986887334141,0.5031930521260481
"Ankara is angry at the West for, in their view, the weak response to the attempted coup.",Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ir dusmīga uz Rietumiem par, viņuprāt, vājo reakciju uz apvērsuma mēģinājumu.",0.822714799585862,0.6799006125523993
"After more than three hours past the initial talks, if you don't want to disclose the information, the two presidents at a press conference, announced that they have not discussed the issue.","It could be telling that after almost three hours of initial talks, the two presidents told a press conference that they hadn't even touched on the topic.","Pēc vairāk nekā trīs stundu garām sākotnējām sarunām, nevēloties atklāt informāciju, abi prezidenti preses konferencē paziņoja, ka viņi šo jautājumu nav pārrunājuši.",-0.15264957689878697,0.5557318955007142
Frenkie Detori wins 3000th victory after 5-1 win with horse Predilecton,"Frankie Dettori reaches 3,000 winners with victory at Newmarket on Predilection","Frenkijs Detori izcīna 3000. uzvaru, iegūstot pirmo vietu Ņūmārketā ar zirgu Predilection",0.05763306964542201,0.5391635690968624
"According to the Kremlin's website (in Russian), later he led the Presidential Protocol and government employees administration.","Later he managed presidential protocol and government staff, the Kremlin website says (in Russian).","Kā vēsta Kremļa mājaslapa (krievu valodā), vēlāk viņš vadīja Prezidenta protokolu un valdības darbinieku pārvaldi.",0.577713965150439,0.6474008699891624
"When Putin came to power, he named Ivanov among the five people he trusted most.","When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.","Kad Putins nāca pie varas, viņš nosauca Ivanovu to piecu cilvēku skaitā, kam viņš uzticas visvairāk.",1.01330621371847,0.6971151296496018
"A huge, because viadukts has 222 metres long, weigh approximately 6,000 tonnes and was jāpavelk bed around 3%.","Massive because the viaduct is 222 metres long, weighs approximately 6,000 tonnes and had to be pulled up a gradient of about 3%.","Milzīga, jo viadukts ir 222 metrus garš, sver apmēram 6000 tonnas un bija jāpavelk slīpi aptuveni par 3 %.",-0.35613247299999296,0.5604559388533149
"Tuesday during the bombardment a stray bullet hit a 6-year-old girl, while she was playing in front of his house in the Vestouklein district.","Another 6-year-old, a girl, was hit in her arm by a stray bullet Tuesday while playing in front of her home in the West Oak Lane neighborhood.","Otrdien apšaudes laikā nomaldījusies lode trāpīja kādai 6 gadus vecai meitenītei rokā, kamēr viņa rotaļājās savas mājas priekšā Vestoukleinas rajonā.",-0.10204914848954501,0.5719370276116549
"In practice, gymnastics is an expensive sport. Trainers are mostly trained at private athletics clubs and are supported by parents who pay for workouts, rooms, trips, uniforms, hotels (coaches, athletes and their families) and other expenses.","But the reality is that gymnastics is an expensive sport, and gymnasts primarily train in private gymnastics clubs that are maintained by parents paying the cost of the training, facility, travel, uniforms, competition fees, hotel fees (for the coaches and their gymnasts and families) and the list goes on.","Patiesībā vingrošana ir dārgs sports. Vingrotāji galvenokārt trenējas privātos vieglatlētikas klubos, un viņus uztur vecāki, kas maksā par treniņiem, telpām, ceļojumiem, formastērpiem, viesnīcām (treneriem, sportistiem un viņu ģimenēm) un citiem izdevumiem.",0.330842748715519,0.5747215094811304
"""EU, personally, I do not see a lot of similarities, with the exception of the beard,"" said Bredijs edition Huffington Post.","'I personally don't see a huge resemblance, maybe besides the facial hair,' Brady told Huffington Post.","""Es personīgi neredzu lielu līdzību, izņemot bārdu"", Breidijs stāsta izdevumam Huffington Post.",-0.05047261284385,0.5627080062473585
No one: One Twitter user was pleasantly surprised to learn that others see the similarities,Not the only one: One Twitter user was very pleased that others also saw the similaritiest,"Nav viens: kāds Twitter lietotājs bija patīkami pārsteigts uzzinot, ka arī citi saskata šīs līdzības",0.335507427948051,0.6074586479039037
"Soon after, Scott Russell, who was led by CBC live broadcast, apologized for the MC Donald's comments, saying: ""we are sorry that comment on the swimming results came just here.""","Soon after, Scott Russel who was hosting CBC's broadcast apologized on-air for MacDonald's comment, saying: 'We apologize the comment on a swim performance made it to air.'","Drīz pēc tam Skots Rasels, kurš tobrīd vadīja CBC tiešraidi, atvainojās par Makdonalda komentāriem, sakot: ""Mēs atvainojamies, ka komentārs par peldēšanas rezultātu atskanēja tiešajā ēterā.""",0.0323920204230684,0.5884002102816832
"It was unfortunate choice of words, and we are very sorry that it happened.","It was an unfortunate choice of words, we're sorry it happened.'","Tā bija neveiksmīga vārdu izvēle un mums ir ļoti žēl, ka tā notika.",0.8821043164638279,0.6127748175251023
We very much regret that such comments were made and that they came into direct ether.,"We sincerely regret that these statements were made, and that they were allowed to go to air.","Mēs ļoti nožēlojam, ka tika izteikti šādi komentāri un tie nonāca tiešajā ēterā.",-0.124293725143599,0.5913269693304336
"We very much regret that made such comments and that they came here, ""she said.","We sincerely regret that these statements were made, and that they were allowed to go to air.","Mēs ļoti nožēlojam, ka tika izteikti šādi komentāri un tie nonāca tiešajā ēterā.",-0.0540631646203839,0.5319183519848711
"Needless to say I hadn't meant to show disrespect, and I was really sorry that it happened.","'Needless to say, there was no disrespect intended and I'm very sorry.'","Lieki teikt, ka es nebiju domājis izrādīt necieņu un man tiešām ļoti žēl, ka tā notika.",0.9011923589497169,0.548945400977521
Cornwall Housing keeper Donna Makevoja says there are concerns that housing will not be restored.,"Donna McEvoy, housing manager at Cornwall Housing, said she feared it might be beyond saving.","Kornvolas Mājokļu dienesta apsaimniekotāja Donna Makevoja saka, ka pastāv bažas, ka mājokli nebūs iespējams atjaunot.",0.12137881855710199,0.550422361030332
The company will buy a plate sailing facility by 89.5 thousand euros.,The company is going to purchase plank sawing equipment for 89.5 thousand euros.,"Uzņēmums par 89,5 tūkstošiem eiro iegādāsies plākšņu zāģēšanas iekārtu.",-0.8504659594309771,0.629025756214771
"He added that the ""Cannes beaches is not, since, when the centre-right 'Ignore' the Linārs signed this order and it entered into force.","He added that burkini swimsuits on the beaches of Cannes haven't been seen since July 28 when Linard, a member of the center-right party the Republicans, signed this ordinance and it came into force.","Viņš piebilda, ka burkini peldkostīmi Kannu pludmalēs nav redzēti jau kopš 28.jūlija, kad labēji centriskās partijas ""Republikāņi"" biedrs Linārs parakstīja šo rīkojumu un tas stājās spēkā.",-1.03711705041855,0.5510564131587388
"This week, a water park in the city of Marseille was cancelled planned a private event that Muslim women should be dressed in peldkostīmo, Burkina Faso as outraged by such a measure was both right and left political circles.","This week, a water amusement park in Marseille cancelled a scheduled private event for Muslim women who would be wearing burkini suits, because politicians from both right wing and left wing political parties were outraged at such possibility.","Šonedēļ akvaparks Marseļas pilsētā atcēla plānotu privātu pasākumu musulmaņu sievietēm, kuras būtu ģērbušās burkini peldkostīmos, jo sašutumu par šādu pasākumu pauda gan labējo, gan kreiso aprindu politiķi.",-0.5860577131816179,0.5804742121486034
"""He was the one that is close to the people,"" says Auziņš.","""He was a person who didn't lose touch with the nation,"" Auzins says.","""Viņš bija tāds, kurš ir tuvu tautai"", stāsta Auziņš.",0.30281544454780607,0.5722990636346355
"""We are not perched to them because they were fleeing on the pitch, picked up with the civilians,"" said Kurdu Menbij, a spokesman for the military council.","""We did not shoot at them, because they took civilians with them when fleeing to Jarabulus,"" press officer of the Kurdish Manbij Military Council announced.","""Mēs nešāvām uz viņiem, jo viņi, bēgot uz Džerābulusu, paņēma sev līdzi civiliedzīvotājus"", paziņoja Kurdu Menbižas militārās padomes preses pārstāvis.",-0.7846417574766171,0.571438604512184
"After receiving non-specific threats, Slovakia has stepped up security measures on Friday at several airports, the Interior Ministry said.","On Friday, after receiving unspecified threats, Slovakia increased its security measures in several airports, the Ministry of Interior announced.","Pēc nespecifisku draudu saņemšanas Slovākija piektdien pastiprinājusi drošības pasākumus vairākās lidostās, paziņojusi Iekšlietu ministrija.",0.797275121613757,0.6574318741340536
"According to a new study, the number of fatalities at the former Communist yoke of the former East German border could be much higher than previously estimated, but doubts about the true number of victims still have not been addressed.","According to a new study, the number of fatalities at the border of former Eastern Germany, greatly subdued by the Communist regime, could be considerably larger than so far believed, but doubts about the actual number of victims have not been cleared yet.","Saskaņā ar jaunu pētījumu bojāgājušo skaits pie komunistu jūgā bijušās kādreizējās Austrumvācijas robežas varētu būt daudz lielāks, nekā uzskatīts iepriekš, taču šaubas par patieso upuru skaitu joprojām nav kliedētas.",0.497159417117123,0.6837580892765592
