translation,reference,source,human_score,metric_score
"Seppo Sirkka was the only Finnish photographer at the 1982 championship in Argentina, where the legendary Mr Kosonen was Finland 's second coach and current player agent Jouni Parkkali as a global player.","Seppo Sirkka was the only Finnish photographer in the 1982 tournament in Argentina, where the legendary Reino Kosonen was Finland’s secondary coach, and Jouni Parkkali, who nowadays is an agent for players, was an opposite hitter.","Seppo Sirkka oli ainoana suomalaiskuvaajana vuoden 1982 turnauksessa Argentiinassa, jossa legendaarinen Reino Kosonen oli Suomen kakkosvalmentajana ja nykyinen pelaaja-agentti Jouni Parkkali yleispelaajana.",0.28039322796961,0.3151479112408716
All home facilities must also be accessible at the exit route.,"Also, there must be an unobstructed exit route from all rooms of the house.",Kaikista kodin tiloista on myös oltava esteetön poistumisreitti.,0.493277601502148,0.5653043062585277
India is also said to be interested in puolustusyhteistyösopimus with Japan.,India is also reportedly hoping for a deal on defence collaboration between the two nations.,Myös Intian on sanottu olevan kiinnostunut puolustusyhteistyösopimuksesta Japanin kanssa.,-1.12131412278143,0.7924464108903577
"When Ailinn Solomons was alone again, he felt at his feet.","Alone again, Ailinn Solomons looked at her feet.","Kun Ailinn Solomons oli taas yksin, hän katsoi jalkojaan.",-0.496386787551119,0.3869234925333336
"During the whole at the beginning of the year, i.e. in January - July of the turnover of the supermarkets and hypermarketti has shrunk by more than 2%.","During the first part of the year, i.e. January through July, the turnover of the department stores and hypermarkets has diminished over two percent.",Koko alkuvuoden eli tammi-heinäkuun aikana tavaratalojen ja hypermarkettien liikevaihto on supistunut yli kaksi prosenttia.,0.484919068174974,0.4072738749436367
The new museum and image have been withdrawn by the public this summer.,The new museum and visual arts have attracted a record audience to Mänttä this summer.,Uusi museo ja kuvataide ovat vetäneet ennätysmäisiä yleisöjä tänä kesänä Mänttään.,-0.988987998034699,0.5741556191263127
"Prime Minister Thomas Thabane fled the country, saying that the army was besieged by his official apartment and seized government buildings in the capital Maserussa.","Prime Minister Thomas Thabane fled the country, saying the country's military had surrounded his official home and seized government buildings in the capital of Maseru.","Pääministeri Thomas Thabane pakeni maasta sanoen, että armeija oli piirittänyt hänen virallisen asuntonsa ja vallannut hallituksen rakennuksia pääkaupungissa Maserussa.",0.332535528134307,0.21476690835344867
"A referendum on independence for Scotland, 18. September.",There will be a referendum on Scottish independence on September 18th.,Skotlannin itsenäistymisestä järjestetään kansanäänestys 18. syyskuuta.,0.656179332639473,0.505232193153977
Jennifer Lawrence alastonkuvia hakkeri leaked online,Nude photos of Jennifer Lawrence leaked online by hacker,Hakkeri vuoti Jennifer Lawrencen alastonkuvia verkkoon,-0.80796309704415,0.7305491721898072
"The same huge, the frozen sea, which aaltoili against them.",The same vast and icy ocean crashed in on them both.,"Sama valtava, hyinen meri, joka aaltoili heitä vastaan.",-0.462085944205039,0.6691742056399451
"The online publication of a daily newspaper, according to the Mallorca dia rio nee affair appears to have presented evidence Calviàn police and municipal government officials from countries engaged in blackmail Mallorca against corruption within the Public Prosecutor 's Office on Friday.","According to online daily Mallorca Diario, the claimants presented proof of extortion by policemen and Calvià Town Hall civil servants at the office of Majorca's anti-corruption prosecutor on Friday.",Verkossa julkaistavan päivälehden Mallorca Diarion mukaan tapauksen ilmi antaneet esittivät todisteita poliisien ja Calviàn kaupunginhallituksen virkamiesten harjoittamasta kiristyksestä Mallorcan korruption vastaisen syyttäjän virastossa perjantaina.,-0.226360664619993,0.5588079954567456
The town plan change allows the city wants to allow the continuation of tourism moottorikelkkailutoiminnan area.,"Through the change in the local detailed plan, the city wants to make the continuation of the travel-related snowmobile activity in the area possible.",Asemakaavamuutoksen avulla kaupunki haluaa mahdollistaa matkailuun liittyvän moottorikelkkailutoiminnan jatkumisen alueella.,-0.68632539874894,0.6293902904547677
Seth Robert Robert Tantawy. 'The publication of images images does not differ in any way from the sale of stolen products'.,"Actor Seth Rogen lashed out at the hacker, tweeting: ""Posting pics hacked from a cell phone is really no different than selling stolen merchandise.""",Näyttelijä Seth Rogen vihastui hakkerille twiitissään: ”Kännykästä varastettujen kuvien julkaiseminen ei eroa millään tavalla varastetun tuotteen myynnistä”.,-0.290698206110773,0.835336032172719
"Perhaps he, Kevern, wanted the same.","Maybe he, Kevern, did.","Ehkä hän, Kevern, halusi samaa.",-0.197579297707432,0.36221401365207573
"That his father was always doing nyt before "" j "" -kirjain eht had to escape his lips.",This his father had always done to stifle the letter j before it left his lips.,"Näin hänen isänsä oli aina tehnyt, ennen kuin ”j”-kirjain ehti karata hänen huuliltaan.",-0.770172443690019,0.6857030652673283
"China's National People's Congress, in practice, the decision to give power to the Communists to weed out candidates who do not obey Beijing.",The decision by China's National People's Congress essentially allows Communist leaders to weed out any candidates not loyal to Beijing.,"Kiinan kansankongressin päätös antaa käytännössä kommunisteille vallan kitkeä pois kaikki ehdokkaat, jotka eivät tottele Pekingiä.",0.439896216518249,0.43376082858001164
